add1, ADD, Pass, fd5117, # Negative Overflow /ExCode 246
add2, ADD, Pass, fd5117, # Positive overflow /ExCode 246
add3, ADD, Pass, fd5117, # Safe sum /ExCode 0
add4, ADD, Pass, fd5117, # Checking simple addition /ExCode 40
add5, ADD, Pass, fd5117, # Simple safe addition /ExCode 90
addi1, ADDI, Pass, fd5117, # Negative Overflow /ExCode 246
addi2, ADDI, Pass, fd5117, # Positive Overflow /ExCode 246
addi3, ADDI, Pass, fd5117, # Safe addi /ExCode 0
addi4, ADDI, Pass, fd5117, # Safe addi /ExCode 43
addi5, ADDI, Pass, fd5117, # immediate extension /ExCode 255
addiu1, ADDIU, Pass, fd5117, # safe addiu /ExCode 119
addiu2, ADDIU, Pass, fd5117, # immediate extension /ExCode 255
addiu3, ADDIU, Pass, fd5117, # summing to GPR[0] /ExCode 0
addu1, ADDU, Pass, fd5117, # safe addu /ExCode 90
and1, AND, Pass, ms8817, # Safe And /ExCode 38
andi1, ANDI, Pass, ms8817, # Safe andi /ExCode 38
andi2, ANDI, Pass, ms8817, # Zero immediate extension /ExCode 37
beq1, BEQ, Pass, fd5117, # Branch to safe position /ExCode 0
beq2, BEQ, Pass, fd5117, # branch to unsafe position /ExCode 245
beq3, BEQ, Pass, fd5117, # Delay slot /ExCode 10
bgez1, BGEZ, Pass, fd5117, # branches to safe position /ExCode 0
bgez2, BGEZ, Pass, fd5117, # branches to unsafe position /ExCode 245
bgez3, BGEZ, Pass, fd5117, # delayed slot /ExCode 10
bgezal1, BGEZAL, Pass, fd5117, # branches to safe position /ExCode 0
bgezal2, BGEZAL, Pass, fd5117, # Branch to unsafe position /ExCode 245
bgezal3, BGEZAL, Pass, fd5117, # linking /ExCode 8
bgezal4, BGEZAL, Pass, fd5117, # Delay slot /ExCode 9
bgezal5, BGEZAL, Pass, fd5117, # linking before call delayed slot /ExCode 8
bgezal6, BGEZAL, Pass, fd5117, # Linking even if not branching /ExCode 8
bgtz1, BGTZ, Pass, fd5117, # branch to safe position /ExCode 0
bgtz2, BGTZ, Pass, fd5117, # branch to unsafe position /ExCode 245
bgtz3, BGTZ, Pass, fd5117, # Delay slot /ExCode 11
blez1, BLEZ, Pass, fd5117, # branch to safe position /ExCode 0
blez2, BLEZ, Pass, fd5117, # branch to unsafe position /ExCode 245
blez3, BLEZ, Pass, fd5117, # delay slot /ExCode 10
bltz1, BLTZ, Pass, fd5117, # branch to safe position /ExCode 0
bltz2, BLTZ, Pass, fd5117, # branch to unsafe position /ExCode 245
bltz3, BLTZ, Pass, fd5117, # Delay slot /ExCode 9
bltzal1, BLTZAL, Pass, fd5117, # branch to safe position /ExCode 0
bltzal2, BLTZAL, Pass, fd5117, # branch to unsafe position /ExCode 245
bltzal3, BLTZAL, Pass, fd5117, # Linking /ExCode 12
bltzal4, BLTZAL, Pass, fd5117, # Delay slot /ExCode 21
bltzal5, BLTZAL, Pass, fd5117, # linking before calling delay slot /ExCode 12
bltzal6, BLTZAL, Pass, fd5117, # linking even if branch not taken /ExCode 8
bne1, BNE, Pass, fd5117, # branch to safe position /ExCode 0
bne2, BNE, Pass, fd5117, # Bne branch to unsafe position /ExCode 245
bne3, BNE, Pass, fd5117, # delay slot /ExCode 11
div1, DIV, Pass, fd5117, # quotient (LO) /ExCode 61
div2, DIV, Pass, fd5117, # remainder (HI) /ExCode 2
div3, DIV, Pass, fd5117, # Div by 0; NO exception /ExCode 0
div4, DIV, Pass, fd5117, # quotient(LO) /ExCode 174
div5, DIV, Pass, fd5117, # remainder(HI) /ExCode 255
div6, DIV, Pass, fd5117, # quotient(LO) /ExCode 0
div7, DIV, Pass, fd5117, # quotient (LO) /ExCode 0
div8, DIV, Pass, fd5117, # quotient (LO) /ExCode 255
divu1, DIVU, Pass, fd5117, # quotient(LO) /ExCode 61
divu2, DIVU, Pass, fd5117, # Remainder(HI) /ExCode 2
divu3, DIVU, Pass, fd5117, # DIVU by 0; NO Exception /ExCode 0
divu4, DIVU, Pass, fd5117, # Remainder(HI) /ExCode 0
divu5, DIVU, Pass, fd5117, # quotient(LO) /ExCode 225
hash, INTERNAL, Pass, ms8817, # Simple hash function for strings /ExCode 139
j1, J, Pass, fd5117, # delay slot /ExCode 10
j2, J, Pass, fd5117, # Jump to unsafe position /ExCode 245
jal1, JAL, Pass, fd5117, # Jump to safe position /ExCode 8
jal2, JAL, Pass, fd5117, # Jump to unsafe position /ExCode 245
jal3, JAL, Pass, fd5117, # Delay slot /ExCode 10
jal4, JAL, Pass, fd5117, # linking before calling delay slot /ExCode 8
jalr1, JALR, Pass, fd5117, # Jump register not 4-multiple /ExCode 245
jalr2, JALR, Pass, fd5117, # linking /ExCode 20
jalr3, JALR, Pass, fd5117, # linking before calling delay slot /ExCode 20
jr1, JR, Pass, fd5117, # Jump to 0 /ExCode 0
jr2, JR, Pass, fd5117, # Jump to 4 /ExCode 245
